==24459== NVPROF is profiling process 24459, command: ./a.out -x 128 -y 128 -z 1000 -np 10000
==24459== Profiling application: ./a.out -x 128 -y 128 -z 1000 -np 10000
==24459== Profiling result:
Time(%)      Time     Calls       Avg       Min       Max  Name
  0.00%  16.256us         6  2.7090us  2.4000us  3.5200us  void thrust::system::cuda::detail::bulk_::detail::launch_by_value<unsigned int=0, thrust::system::cuda::detail::bulk_::detail::cuda_task<thrust::system::cuda::detail::bulk_::parallel_group<thrust::system::cuda::detail::bulk_::concurrent_group<thrust::system::cuda::detail::bulk_::agent<unsigned long=1>, unsigned long=0>, unsigned long=0>, thrust::system::cuda::detail::bulk_::detail::closure<thrust::system::cuda::detail::for_each_n_detail::for_each_kernel, thrust::tuple<thrust::system::cuda::detail::bulk_::detail::cursor<unsigned int=0>, thrust::device_ptr<double>, thrust::detail::wrapped_function<thrust::detail::device_generate_functor<thrust::detail::fill_functor<double>>, void>, unsigned int, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type>>>>(unsigned long=1)

==24459== API calls:
Time(%)      Time     Calls       Avg       Min       Max  Name
 48.37%  4.99620s      2011  2.4844ms  5.2320us  4.97915s  cudaMalloc
 46.06%  4.75749s       999  4.7623ms  739.34us  4.8344ms  cudaMemcpy
  2.01%  207.53ms     15992  12.977us  8.7140us  614.92us  cudaLaunch
  1.32%  136.07ms     53978  2.5200us  2.1890us  605.94us  cudaFuncGetAttributes
  1.24%  128.40ms      5003  25.665us  5.0000us  9.0939ms  cudaMemcpyAsync
  0.22%  22.226ms     13994  1.5880us  1.2350us  589.43us  cudaEventCreateWithFlags
  0.21%  21.834ms     40983     532ns     328ns  606.17us  cudaGetDevice
  0.14%  14.941ms      2011  7.4290us  5.5660us  196.84us  cudaFree
  0.14%  14.396ms     13994  1.0280us     877ns  6.3930us  cudaEventRecord
  0.13%  13.422ms     13994     959ns     802ns  13.097us  cudaEventDestroy
  0.08%  8.3679ms     21986     380ns     168ns  597.69us  cudaSetupArgument
  0.06%  6.6928ms     15992     418ns     329ns  9.9000us  cudaConfigureCall
  0.01%  894.65us       166  5.3890us     274ns  195.78us  cuDeviceGetAttribute
  0.00%  129.43us         2  64.713us  56.488us  72.939us  cuDeviceTotalMem
  0.00%  113.01us         2  56.504us  42.900us  70.109us  cuDeviceGetName
  0.00%  19.030us         2  9.5150us  2.0050us  17.025us  cuDeviceGetCount
  0.00%  13.499us        11  1.2270us     754ns  4.7660us  cudaDeviceGetAttribute
  0.00%  2.9060us         4     726ns     477ns     966ns  cuDeviceGet
