==31288== NVPROF is profiling process 31288, command: ./descent.o 100 0.05
==31288== Profiling application: ./descent.o 100 0.05
==31288== Profiling result:
Time(%)      Time     Calls       Avg       Min       Max  Name
 20.63%  1.14565s    100004  11.456us  2.8120us  14.801ms  cudaMemcpyAsync
 19.82%  1.10043s    200202  5.4960us  4.1220us  692.39us  cudaLaunch
 16.63%  923.38ms    100000  9.2330us  1.1070us  1.9133ms  cudaEventSynchronize
 16.26%  903.04ms    600808  1.5030us  1.3130us  348.05us  cudaFuncGetAttributes
  8.86%  492.25ms    100006  4.9220us  3.3800us  119.56ms  cudaMalloc
  6.70%  371.94ms    100006  3.7190us  3.3730us  201.13us  cudaFree
  2.83%  157.11ms    200202     784ns     559ns  60.550us  cudaEventCreateWithFlags
  2.74%  152.23ms    600606     253ns     190ns  264.34us  cudaGetDevice
  2.18%  120.93ms    200202     604ns     461ns  308.83us  cudaEventRecord
  1.90%  105.54ms    200202     527ns     406ns  1.8072ms  cudaEventDestroy
  0.74%  41.131ms    200202     205ns     114ns  261.29us  cudaConfigureCall
  0.69%  38.044ms    200202     190ns     121ns  338.49us  cudaSetupArgument
  0.01%  729.72us       100  7.2970us  4.5970us  27.077us  cudaMemcpyToSymbol
  0.00%  194.30us        91  2.1350us     102ns  74.670us  cuDeviceGetAttribute
  0.00%  160.04us         1  160.04us  160.04us  160.04us  cuDeviceTotalMem
  0.00%  37.783us         1  37.783us  37.783us  37.783us  cuDeviceGetName
  0.00%  3.2490us        11     295ns     207ns     680ns  cudaDeviceGetAttribute
  0.00%  1.6660us         3     555ns     100ns  1.2640us  cuDeviceGetCount
  0.00%     773ns         3     257ns     117ns     477ns  cuDeviceGet
