==6591== NVPROF is profiling process 6591, command: ./thrust_particle_filter -x 128 -y 128 -z 1000 -np 10000
==6591== Profiling application: ./thrust_particle_filter -x 128 -y 128 -z 1000 -np 10000
==6591== Profiling result:
Time(%)      Time     Calls       Avg       Min       Max  Name
  0.08%  2.6512ms       999  2.6530us  2.5600us  3.2960us  void thrust::for_each_kernel<double, update_uYOYOYOYO>(long, double*, update_uYOYOYOYO)
  0.04%  1.4836ms       999  1.4850us  1.4400us  2.8800us  void thrust::system::cuda::detail::bulk_::detail::launch_by_value<unsigned int=0, thrust::system::cuda::detail::bulk_::detail::cuda_task<thrust::system::cuda::detail::bulk_::parallel_group<thrust::system::cuda::detail::bulk_::concurrent_group<thrust::system::cuda::detail::bulk_::agent<unsigned long=1>, unsigned long=0>, unsigned long=0>, thrust::system::cuda::detail::bulk_::detail::closure<thrust::system::cuda::detail::for_each_n_detail::for_each_kernel, thrust::tuple<thrust::system::cuda::detail::bulk_::detail::cursor<unsigned int=0>, thrust::zip_iterator<thrust::tuple<thrust::counting_iterator<long, thrust::use_default, thrust::use_default, long>, thrust::detail::normal_iterator<thrust::device_ptr<double>>, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type>>, thrust::detail::wrapped_function<thrust::detail::unary_transform_functor<thrust::system::detail::generic::sequence_detail::sequence_functor<double>>, void>, unsigned int, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type>>>>(unsigned long=1)
  0.04%  1.4648ms      3999     366ns     256ns  7.8080us  [CUDA memcpy DtoH]
  0.04%  1.2520ms       999  1.2530us  1.1520us  1.5680us  void thrust::system::cuda::detail::bulk_::detail::launch_by_value<unsigned int=0, thrust::system::cuda::detail::bulk_::detail::cuda_task<thrust::system::cuda::detail::bulk_::parallel_group<thrust::system::cuda::detail::bulk_::concurrent_group<thrust::system::cuda::detail::bulk_::agent<unsigned long=1>, unsigned long=0>, unsigned long=0>, thrust::system::cuda::detail::bulk_::detail::closure<thrust::system::cuda::detail::for_each_n_detail::for_each_kernel, thrust::tuple<thrust::system::cuda::detail::bulk_::detail::cursor<unsigned int=0>, thrust::detail::normal_iterator<thrust::device_ptr<double>>, thrust::detail::wrapped_function<thrust::detail::device_generate_functor<thrust::detail::fill_functor<double>>, void>, unsigned int, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type>>>>(unsigned long=1)
  0.00%  16.352us         3  5.4500us  1.3120us  13.568us  void thrust::system::cuda::detail::bulk_::detail::launch_by_value<unsigned int=0, thrust::system::cuda::detail::bulk_::detail::cuda_task<thrust::system::cuda::detail::bulk_::parallel_group<thrust::system::cuda::detail::bulk_::concurrent_group<thrust::system::cuda::detail::bulk_::agent<unsigned long=1>, unsigned long=0>, unsigned long=0>, thrust::system::cuda::detail::bulk_::detail::closure<thrust::system::cuda::detail::for_each_n_detail::for_each_kernel, thrust::tuple<thrust::system::cuda::detail::bulk_::detail::cursor<unsigned int=0>, thrust::device_ptr<int>, thrust::detail::wrapped_function<thrust::detail::device_generate_functor<thrust::detail::fill_functor<int>>, void>, unsigned int, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type>>>>(unsigned long=1)
  0.00%  8.6720us         6  1.4450us  1.1200us  3.0720us  void thrust::system::cuda::detail::bulk_::detail::launch_by_value<unsigned int=0, thrust::system::cuda::detail::bulk_::detail::cuda_task<thrust::system::cuda::detail::bulk_::parallel_group<thrust::system::cuda::detail::bulk_::concurrent_group<thrust::system::cuda::detail::bulk_::agent<unsigned long=1>, unsigned long=0>, unsigned long=0>, thrust::system::cuda::detail::bulk_::detail::closure<thrust::system::cuda::detail::for_each_n_detail::for_each_kernel, thrust::tuple<thrust::system::cuda::detail::bulk_::detail::cursor<unsigned int=0>, thrust::device_ptr<double>, thrust::detail::wrapped_function<thrust::detail::device_generate_functor<thrust::detail::fill_functor<double>>, void>, unsigned int, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type>>>>(unsigned long=1)
  0.00%  1.4080us         1  1.4080us  1.4080us  1.4080us  void thrust::system::cuda::detail::bulk_::detail::launch_by_value<unsigned int=0, thrust::system::cuda::detail::bulk_::detail::cuda_task<thrust::system::cuda::detail::bulk_::parallel_group<thrust::system::cuda::detail::bulk_::concurrent_group<thrust::system::cuda::detail::bulk_::agent<unsigned long=1>, unsigned long=0>, unsigned long=0>, thrust::system::cuda::detail::bulk_::detail::closure<thrust::system::cuda::detail::for_each_n_detail::for_each_kernel, thrust::tuple<thrust::system::cuda::detail::bulk_::detail::cursor<unsigned int=0>, thrust::zip_iterator<thrust::tuple<thrust::counting_iterator<long, thrust::use_default, thrust::use_default, long>, thrust::detail::normal_iterator<thrust::device_ptr<int>>, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type>>, thrust::detail::wrapped_function<thrust::detail::unary_transform_functor<thrust::system::detail::generic::sequence_detail::sequence_functor<int>>, void>, unsigned int, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type>>>>(unsigned long=1)

==6591== API calls:
Time(%)      Time     Calls       Avg       Min       Max  Name
 59.28%  2.87025s     10989  261.19us  137.58us  2.8728ms  cudaGetDeviceProperties
 26.71%  1.29315s       999  1.2944ms  1.0363ms  3.9671ms  cudaMemcpy
 10.15%  491.42ms      2012  244.24us  3.0070us  481.60ms  cudaMalloc
  1.56%  75.714ms     15994  4.7330us  3.0630us  826.93us  cudaLaunch
  1.44%  69.535ms      5003  13.898us  2.0090us  1.7164ms  cudaMemcpyAsync
  0.31%  15.048ms     10030  1.5000us  1.3000us  15.938us  cudaFuncGetAttributes
  0.16%  7.9663ms     55954     142ns     106ns  215.01us  cudaSetupArgument
  0.16%  7.6410ms      2012  3.7970us  2.6750us  120.44us  cudaFree
  0.07%  3.1887ms     15994     199ns     114ns  205.74us  cudaConfigureCall
  0.05%  2.2044ms      3007     733ns     530ns  1.6640us  cudaEventCreateWithFlags
  0.04%  2.1597ms      8022     269ns     189ns  14.372us  cudaGetDevice
  0.04%  1.8510ms      3007     615ns     426ns  3.3480us  cudaEventRecord
  0.03%  1.6270ms      3007     541ns     397ns  1.0580us  cudaEventDestroy
  0.01%  272.05us        90  3.0220us      96ns  115.18us  cuDeviceGetAttribute
  0.00%  187.93us         1  187.93us  187.93us  187.93us  cuDeviceTotalMem
  0.00%  22.124us         1  22.124us  22.124us  22.124us  cuDeviceGetName
  0.00%  2.8050us        11     255ns     196ns     647ns  cudaDeviceGetAttribute
  0.00%  1.5650us         2     782ns     180ns  1.3850us  cuDeviceGetCount
  0.00%     286ns         2     143ns     105ns     181ns  cuDeviceGet
