==17705== NVPROF is profiling process 17705, command: ./thrust_particle_filter -x 128 -y 128 -z 1000 -np 10000
==17705== Profiling application: ./thrust_particle_filter -x 128 -y 128 -z 1000 -np 10000
==17705== Profiling result:
Time(%)      Time     Calls       Avg       Min       Max  Name
  0.00%  16.224us         6  2.7040us  2.5280us  3.4880us  void thrust::system::cuda::detail::bulk_::detail::launch_by_value<unsigned int=0, thrust::system::cuda::detail::bulk_::detail::cuda_task<thrust::system::cuda::detail::bulk_::parallel_group<thrust::system::cuda::detail::bulk_::concurrent_group<thrust::system::cuda::detail::bulk_::agent<unsigned long=1>, unsigned long=0>, unsigned long=0>, thrust::system::cuda::detail::bulk_::detail::closure<thrust::system::cuda::detail::for_each_n_detail::for_each_kernel, thrust::tuple<thrust::system::cuda::detail::bulk_::detail::cursor<unsigned int=0>, thrust::device_ptr<double>, thrust::detail::wrapped_function<thrust::detail::device_generate_functor<thrust::detail::fill_functor<double>>, void>, unsigned int, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type>>>>(unsigned long=1)

==17705== API calls:
Time(%)      Time     Calls       Avg       Min       Max  Name
 85.46%  4.81239s       999  4.8172ms  759.95us  4.9042ms  cudaEventSynchronize
  4.34%  244.67ms      1012  241.77us  7.7920us  235.04ms  cudaMalloc
  3.30%  185.62ms     15992  11.607us  9.4470us  593.63us  cudaLaunch
  2.60%  146.22ms     57974  2.5220us  2.2350us  541.54us  cudaFuncGetAttributes
  2.58%  145.08ms      6002  24.172us  4.8310us  6.2685ms  cudaMemcpyAsync
  0.42%  23.562ms     15992  1.4730us  1.0970us  642.68us  cudaEventCreateWithFlags
  0.36%  20.433ms     45978     444ns     310ns  620.74us  cudaGetDevice
  0.29%  16.419ms     15992  1.0260us     855ns  12.618us  cudaEventRecord
  0.26%  14.369ms     15992     898ns     742ns  12.704us  cudaEventDestroy
  0.16%  8.7287ms      1012  8.6250us  6.6050us  178.06us  cudaFree
  0.12%  6.6414ms     15992     415ns     254ns  541.23us  cudaConfigureCall
  0.11%  5.9705ms     15992     373ns     303ns  11.320us  cudaSetupArgument
  0.01%  782.05us       166  4.7110us     219ns  180.08us  cuDeviceGetAttribute
  0.00%  101.29us         2  50.644us  44.974us  56.314us  cuDeviceTotalMem
  0.00%  77.290us         2  38.645us  37.909us  39.381us  cuDeviceGetName
  0.00%  8.1560us        11     741ns     402ns  3.1520us  cudaDeviceGetAttribute
  0.00%  4.2430us         2  2.1210us     728ns  3.5150us  cuDeviceGetCount
  0.00%  1.9180us         4     479ns     265ns     686ns  cuDeviceGet
